,,,,,,,,,,,,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2,Calculation_result_range_bins_text_v2
Water System ID,Water System Name,Source,County,Action Taken,,Testing Date,Sample Number,PFAS Measured,Result,State Action Level (SAL),Calculation_result_range_bins_text,Action & No PFAS detected,Action & PFAS detected below State Action Level (SAL),Action & PFAS detected meeting or exceeding State Action Level (SAL),No Action & No PFAS detected,No Action & PFAS detected below State Action Level (SAL),No Action & PFAS detected meeting or exceeding State Action Level (SAL)
4778,ORTING 15,1,Pierce,None,,11/28/2023,30301,(PFOS) PFoctane sulfonic acid,2.4ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,2/13/2024,35501,(PFBS) PFbutane sulfonic acid,6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,2/13/2024,35501,(PFHxA) PFhexanoic acid,3.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,2/13/2024,35501,(PFHxS) PFhexane sulfonic acid,8.1ng/L,65ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,2/13/2024,35501,(PFOS) PFoctane sulfonic acid,5.1ng/L,15ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,2/13/2024,35501,(PFPeA) PFpentanoic acid,2.5ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
4778,ORTING 15,1,Pierce,None,,2/13/2024,35501,(PFPeS) PFpentanesulfonic acid,2.8ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,3,Pierce,None,,9/17/2024,85005,(PFBS) PFbutane sulfonic acid,2.5ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,2,Pierce,None,,9/17/2024,85003,(PFBS) PFbutane sulfonic acid,3.4ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,1,Pierce,None,,9/17/2024,85001,(PFBS) PFbutane sulfonic acid,3.6ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,2,Pierce,None,,9/17/2024,85003,(PFPeA) PFpentanoic acid,2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,2,Pierce,None,,12/17/2024,77903,(PFBS) PFbutane sulfonic acid,4.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,1,Pierce,None,,12/17/2024,77902,(PFBS) PFbutane sulfonic acid,4.8ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,1,Pierce,None,,12/17/2024,77902,(PFPeA) PFpentanoic acid,2.2ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5859,CANTERWOOD WATER SYSTEM,2,Pierce,None,,12/17/2024,77903,(PFPeA) PFpentanoic acid,2.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5948,BETHEL WATER CO,1,Pierce,None,,11/29/2023,2301,(PFBS) PFbutane sulfonic acid,5.1ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5948,BETHEL WATER CO,2,Pierce,None,,11/29/2023,2303,(PFBS) PFbutane sulfonic acid,5.2ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5948,BETHEL WATER CO,4,Pierce,None,,11/29/2023,2307,(PFBS) PFbutane sulfonic acid,6.3ng/L,345ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5948,BETHEL WATER CO,4,Pierce,None,,11/29/2023,2307,(PFHxA) PFhexanoic acid,2.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5948,BETHEL WATER CO,1,Pierce,None,,11/29/2023,2301,(PFHxA) PFhexanoic acid,3.4ng/L,None,PFAS Detected: Lower than State Action Level (SAL),,,,,,
5948,BETHEL WATER CO,4,Pierce,None,,11/29/2023,2307,(PFOA) PFoctanoic acid,3.1ng/L,10ng/L,PFAS Detected: Lower than State Action Level (SAL),,,,,,
